,Date,SHELL,BP,TTE,CNA,NG,SHELL_z_norm,BP_z_norm,TTE_z_norm,CNA_z_norm,NG_z_norm
0,2017-12-21,1923.504150390625,31.27614974975586,40.77054214477539,36.68349838256836,4.059999942779541,0.39687423046785836,0.5252935621566869,-0.29628586594630824,0.0026460743409169535,-1.127327159172755
1,2017-12-22,1921.545654296875,30.98348999023437,40.46962738037109,36.54338836669922,3.9700000286102295,0.39205917834049336,0.4735447490446541,-0.34076743110094887,-0.024291182131995628,-1.1659548082074798
2,2017-12-27,1930.164306640625,31.306156158447266,40.5650520324707,36.97074890136719,4.050000190734863,0.41324852890148056,0.5305993685923709,-0.3266616497241834,0.057872253917458386,-1.1316190178481913
3,2017-12-28,1928.2059326171875,31.41872215270996,40.76319885253906,37.08284378051758,4.0,0.40843377688955607,0.5505035624910973,-0.2973713598159973,0.07942337922597581,-1.1530789251959048
4,2017-12-29,1943.092041015625,31.53878402709961,40.5723762512207,37.16690444946289,3.930000066757202,0.44503195451208033,0.5717331962126206,-0.3255789753190909,0.09558470634179986,-1.183122652222913
5,2018-01-02,1939.5662841796875,31.801420211791992,41.005409240722656,36.725528717041016,4.059999942779541,0.43636372024414943,0.6181731675305958,-0.26156754279675765,0.01072673789882898,-1.127327159172755
6,2018-01-03,1967.7720947265625,32.16910552978516,41.42374801635742,36.90068054199219,3.950000047683716,0.5057089941567157,0.6831881830420464,-0.19972822579964106,0.04440105876119336,-1.1745387302151964
7,2018-01-04,1984.61767578125,32.29667282104492,42.13567733764648,37.159912109375,3.920000076293945,0.5471246248301289,0.7057449428965722,-0.09449001805297842,0.09424037376767999,-1.1874146132267716
8,2018-01-05,1982.267578125,32.34170150756836,42.399898529052734,37.16690444946289,3.859999895095825,0.5413468023696433,0.7137070251705125,-0.055432538889267136,0.09558470634179986,-1.2131664815783434
9,2018-01-08,1978.74169921875,32.32668685913086,42.40723419189453,36.96374130249024,3.7899999618530273,0.5326782679862719,0.7110520983804219,-0.054348172805416727,0.056524987720701324,-1.2432102086053516
10,2018-01-09,1986.18505859375,32.16910552978516,42.34852600097656,37.124881744384766,3.7899999618530273,0.5509781070861353,0.6831881830420464,-0.06302648483373592,0.08750550959520711,-1.2432102086053516
11,2018-01-10,2003.42138671875,32.19162368774414,42.23109436035156,36.94272232055664,3.880000114440918,0.5933544072845857,0.6871698987030982,-0.08038536446205158,0.052483922536084304,-1.2045824572422048
12,2018-01-11,2013.999267578125,32.469261169433594,42.48063659667969,37.173919677734375,3.880000114440918,0.6193606106655809,0.7362624359768739,-0.043497745251880805,0.09693343934987757,-1.2045824572422048
13,2018-01-12,2016.3494873046875,32.94950485229492,43.54485321044922,37.650333404541016,3.9600000381469727,0.625138733241507,0.8211802963388841,0.11381597359389121,0.18852773877664059,-1.170246769211338
15,2018-01-16,1992.061279296875,31.8614501953125,42.99439239501953,37.04080581665039,3.9600000381469727,0.5654250641608733,0.6287878157603367,0.032446225336161566,0.07134124885674449,-1.170246769211338
16,2018-01-17,1977.1741943359373,32.176605224609375,43.05310821533203,37.47518539428711,3.9700000286102295,0.5288244856148244,0.6845142973889248,0.041125665150319395,0.15485415131993585,-1.1659548082074798
17,2018-01-18,1974.4322509765625,32.19162368774414,42.64944076538086,37.75542068481445,3.910000085830689,0.5220832925903378,0.6871698987030982,-0.018544919679096362,0.2087315978883996,-1.1917065742306296
18,2018-01-19,1972.08154296875,31.816425323486328,42.532012939453125,37.80446243286133,3.9800000190734863,0.5163039695526497,0.6208264080104793,-0.0359032354144927,0.21816026104872968,-1.1616628472036215
19,2018-01-22,1975.2164306640625,32.55929946899414,43.19990539550781,38.11272811889648,3.940000057220459,0.524011234180103,0.7521832279043403,0.0628253924715526,0.27742677240422575,-1.1788306912190547
20,2018-01-23,1984.61767578125,32.446754455566406,42.91366195678711,38.50506591796875,4.0,0.5471246248301289,0.7322827438880695,0.020512559484613866,0.35285681109252753,-1.1530789251959048
21,2018-01-24,1961.5040283203125,32.972015380859375,43.38338470458984,38.33692169189453,4.409999847412109,0.49029866651797605,0.8251606629517714,0.08994751410495613,0.3205297564269216,-0.9771084217092917
22,2018-01-25,1967.380615234375,32.82194137573242,43.37603378295898,38.38595199584961,3.900000095367432,0.5047465239390355,0.7986242110084398,0.08886089244942845,0.32995621937027275,-1.195998535234488
23,2018-01-26,1966.5970458984373,32.87446594238281,43.339351654052734,38.589134216308594,3.9700000286102295,0.5028200829264723,0.8079117331051768,0.08343849813725812,0.3690196050196709,-1.1659548082074798
24,2018-01-29,1975.999267578125,32.529300689697266,42.79623031616211,38.11272811889648,3.819999933242798,0.5259358745000228,0.7468787705168219,0.00315367985629821,0.27742677240422575,-1.2303343255937766
25,2018-01-30,1944.2674560546875,32.124080657958984,42.32650375366211,38.0356559753418,3.7200000286102295,0.44792176608864465,0.6752267752921877,-0.06628183865696442,0.2626090444568633,-1.2732539356323598
26,2018-01-31,1929.3807373046875,32.10907745361328,42.61273956298828,37.944583892822266,3.7200000286102295,0.4113220878889179,0.6725738720743456,-0.023970133455864327,0.2450997177386212,-1.2732539356323598
27,2018-02-01,1885.504638671875,32.53679656982422,43.46411895751953,37.90254974365234,3.7200000286102295,0.30345069476406217,0.7482042103396187,0.1018817438494242,0.23701832077504814,-1.2732539356323598
28,2018-02-02,1876.8857421875,30.885942459106445,42.04026794433594,37.272010803222656,3.630000114440918,0.28226074397219403,0.45629615646010163,-0.10859354385806452,0.11579223248185704,-1.3118815846670848
