Date,SHELL,FORD,TSLA,MSFT,AAPL
2017-12-20,1888.6383056640625,1.2699999809265137,21.93199920654297,80.53544616699219,41.44734191894531
2017-12-21,1923.5045166015625,1.2899999618530273,22.110666275024414,80.5166244506836,41.604248046875
2017-12-22,1921.5457763671875,1.2699999809265137,21.68000030517578,80.52603149414062,41.604248046875
2017-12-27,1930.164306640625,1.2699999809265137,20.775999069213867,80.71438598632812,40.555870056152344
2017-12-28,1928.2052001953125,1.2599999904632568,21.02400016784668,80.7237777709961,40.669979095458984
2017-12-29,1943.0921630859375,1.2300000190734863,20.75666618347168,80.55428314208984,40.23019790649414
2018-01-02,1939.56689453125,1.25,21.368667602539062,80.94038391113281,40.95049285888672
2018-01-03,1967.7724609375,1.2400000095367432,21.149999618530273,81.31707000732422,40.943363189697266
2018-01-04,1984.617919921875,1.25,20.974666595458984,82.03277587890625,41.133541107177734
2018-01-05,1982.2674560546875,1.2200000286102295,21.10533332824707,83.04983520507812,41.60186767578125
2018-01-08,1978.7413330078125,1.2400000095367432,22.42733383178711,83.13458251953125,41.44734191894531
2018-01-09,1986.184814453125,1.2200000286102295,22.246000289916992,83.07807159423828,41.44259262084961
2018-01-10,2003.421875,1.25,22.31999969482422,82.70140838623047,41.433082580566406
2018-01-11,2013.999267578125,1.2300000190734863,22.530000686645508,82.94625091552734,41.66842269897461
2018-01-12,2016.349853515625,1.2200000286102295,22.4146671295166,84.37764739990234,42.09870529174805
2018-01-15,2011.25732421875,,,,
2018-01-16,1992.0611572265625,1.3200000524520874,22.67066764831543,83.20051574707031,41.88475036621094
2018-01-17,1977.1749267578125,1.25,23.143999099731445,84.88617706298828,42.576534271240234
2018-01-18,1974.432373046875,1.2400000095367432,22.971332550048828,84.84850311279297,42.61457061767578
2018-01-19,1972.08154296875,2.950000047683716,23.334667205810547,84.75434875488281,42.42439270019531
2018-01-22,1975.2158203125,2.490000009536743,23.437332153320312,86.27049255371094,42.07730484008789
2018-01-23,1984.617919921875,2.9200000762939453,23.519332885742188,86.5436019897461,42.08681869506836
2018-01-24,1961.5042724609375,2.8299999237060547,23.05933380126953,86.46825408935547,41.41643142700195
2018-01-25,1967.3807373046875,2.9700000286102295,22.50933265686035,86.94852447509766,40.67711639404297
2018-01-26,1966.59765625,2.740000009536743,22.856666564941406,88.57770538330078,40.77220153808594
2018-01-29,1975.999267578125,2.490000009536743,23.302000045776367,88.44584655761719,39.92827224731445
2018-01-30,1944.2672119140625,2.5199999809265137,23.05466651916504,87.33464813232422,39.692928314208984
2018-01-31,1929.380859375,2.430000066757202,23.62066650390625,89.47232818603516,39.802284240722656
2018-02-01,1885.50439453125,2.4100000858306885,23.28333282470703,88.76605224609375,39.8854866027832
2018-02-02,1876.885986328125,2.119999885559082,22.916667938232422,86.43058776855469,38.154850006103516
2018-02-05,1854.164306640625,1.9700000286102295,22.208667755126953,82.87091827392578,37.201576232910156
2018-02-06,1791.09228515625,2.049999952316284,22.264667510986328,86.00682067871094,38.756290435791016
2018-02-07,1826.7420654296875,2.0299999713897705,23.0,84.38705444335938,37.9266357421875
2018-02-08,1785.9993896484375,1.9199999570846558,21.01533317565918,80.05518341064453,36.883018493652344
2018-02-09,1757.0098876953125,1.8899999856948853,20.69466781616211,83.04041290283203,37.33415985107422
2018-02-12,1790.3087158203125,2.0399999618530273,21.048667907714844,83.93505096435547,38.837928771972656
2018-02-13,1789.9166259765625,1.9600000381469727,21.577333450317383,84.59425354003906,39.226993560791016
2018-02-14,1787.566650390625,1.9900000095367432,21.487333297729492,85.91885375976562,39.95024108886719
2018-02-15,1795.0504150390625,1.7599999904632568,22.271333694458008,87.66920471191406,41.291709899902344
2018-02-16,1799.822509765625,1.7200000286102295,22.365999221801758,87.04474639892578,41.15803527832031
2018-02-19,1798.62939453125,,,,
2018-02-20,1794.2550048828125,1.6799999475479126,22.31800079345703,87.7259521484375,41.019596099853516
2018-02-21,1795.8460693359375,1.6299999952316284,22.219999313354492,86.56222534179688,40.833412170410156
2018-02-22,1800.6177978515625,1.6699999570846558,23.077999114990234,86.78929138183594,41.174739837646484
2018-02-23,1796.243408203125,1.7100000381469727,23.469999313354492,88.99378967285156,41.89082717895508
2018-02-26,1812.1497802734375,1.7000000476837158,23.827999114990234,90.28053283691406,42.719093322753906
2018-02-27,1831.2374267578125,1.590000033378601,23.39933204650879,89.12625885009766,42.580650329589844
2018-02-28,1830.0445556640625,1.5700000524520874,22.87066650390625,88.71939849853516,42.516204833984375
2018-03-01,1822.489501953125,1.559999942779541,22.062000274658203,87.84896087646484,41.771480560302734
2018-03-02,1789.085693359375,1.559999942779541,22.341333389282227,88.03819274902344,42.060306549072266
2018-03-05,1803.0035400390625,1.5700000524520874,22.22333335876465,88.59642028808594,42.205902099609375
2018-03-06,1821.6937255859375,1.5700000524520874,21.8799991607666,88.29365539550781,42.17009353637695
2018-03-07,1808.17333984375,1.600000023841858,22.15333366394043,88.80455780029297,41.778629302978516
2018-03-08,1801.4130859375,1.659999966621399,21.940000534057617,89.3438720703125,42.23454666137695
2018-03-09,1798.62939453125,1.6200000047683716,21.81133270263672,91.34021759033203,42.960174560546875
2018-03-12,1791.8690185546875,1.600000023841858,23.034000396728516,91.55781555175781,43.37550735473633
2018-03-13,1775.5650634765625,1.559999942779541,22.78933334350586,89.32495880126953,42.95779037475586
2018-03-14,1758.86328125,1.5199999809265137,21.775333404541016,88.79509735107422,42.59258270263672
2018-03-15,1744.149169921875,1.5,21.706666946411133,89.1073226928711,42.642704010009766
