,Date,PSNY,FORD,TSLA,LI,NIO,PSNY_z_norm,FORD_z_norm,TSLA_z_norm,LI_z_norm,NIO_z_norm
0,2021-05-18,10.0,2.440000057220459,192.6233367919922,19.40999984741211,34.189998626708984,0.20945569316691728,1.1523956864230334,-1.242830491957582,-1.510590134432001,0.6552781099107048
1,2021-05-19,9.779999732971191,2.470000028610229,187.82000732421875,19.549999237060547,33.459999084472656,0.11043426876335681,1.2102227775695378,-1.3240699759775807,-1.48459197325848,0.5922372711882292
2,2021-05-20,9.760000228881836,2.8299999237060547,195.5933380126953,20.270000457763672,34.33000183105469,0.10143255522437512,1.9041483308964708,-1.1925983835154075,-1.3508863347697868,0.6673684180754872
3,2021-05-21,9.760000228881836,2.650000095367432,193.6266632080078,20.489999771118164,34.060001373291016,0.10143255522437512,1.55718578401744,-1.2258610708742252,-1.310032030897342,0.6440518893270843
4,2021-05-24,9.760000228881836,2.5299999713897705,202.14666748046875,20.809999465942383,35.88999938964844,0.10143255522437512,1.3258769598625493,-1.081760867965646,-1.250607460101648,0.8020857004966409
5,2021-05-25,9.729999542236328,2.400000095367432,201.56333923339844,19.989999771118164,36.06999969482422,0.08792934104721212,1.075292898227694,-1.0916267924507823,-1.4028830113152098,0.817630052995576
6,2021-05-26,9.729999542236328,2.440000057220459,206.3766632080078,22.81999969482422,37.7599983215332,0.08792934104721212,1.1523956864230334,-1.0102182697288098,-0.8773464763180147,0.9635738854275636
7,2021-05-27,9.75,2.8299999237060547,210.2833404541016,23.649999618530277,38.90999984741211,0.09693148383198745,1.9041483308964708,-0.9441440089822436,-0.7232138629922891,1.0628849897899593
8,2021-05-28,9.699999809265137,2.8499999046325684,208.4066619873047,23.299999237060547,38.619998931884766,0.07442655611584276,1.9426997249941411,-0.9758845738002332,-0.7882096201244733,1.0378412741608731
9,2021-06-01,9.760000228881836,2.7100000381469727,207.96665954589844,23.809999465942383,42.34000015258789,0.10143255522437512,1.6728399663104496,-0.9833264058767559,-0.6935015775944426,1.3590907865692492
10,2021-06-02,9.779999732971191,2.690000057220459,201.7066650390625,24.34000015258789,41.15999984741211,0.11043426876335681,1.6342885722127793,-1.089202700042169,-0.5950794108400859,1.2571890665994356
11,2021-06-03,9.800000190734863,2.650000095367432,190.94667053222656,24.959999084472656,40.900001525878906,0.11943641154813216,1.55718578401744,-1.271188218141258,-0.47994439347302353,1.2347362960049812
12,2021-06-04,9.760000228881836,2.7100000381469727,199.68333435058597,25.63999938964844,41.93999862670898,0.10143255522437512,1.6728399663104496,-1.1234236174779777,-0.353667003432982,1.3245477078100119
13,2021-06-07,9.760000228881836,2.880000114440918,201.7100067138672,26.68000030517578,43.68000030517578,0.10143255522437512,2.0005272757095147,-1.0891461817586081,-0.16053679414859523,1.4748096721573147
14,2021-06-08,9.800000190734863,2.990000009536743,201.19667053222656,28.46999931335449,43.560001373291016,0.11943641154813216,2.212559943246701,-1.097828319181218,0.17186953156421178,1.4644468803004291
15,2021-06-09,9.800000190734863,2.890000104904175,199.5933380126953,27.43000030517578,42.7400016784668,0.11943641154813216,2.0198029727583497,-1.1249457400188065,-0.021260323521793897,1.393633865328486
16,2021-06-10,9.789999961853027,2.8399999141693115,203.3733367919922,27.0,42.7599983215332,0.11493534015574448,1.9234240279453059,-1.061014012560467,-0.10111222335290097,1.3953607227819556
17,2021-06-11,9.770000457763672,2.930000066757202,203.29666137695312,28.11000061035156,45.68000030517578,0.1059336266167628,2.0969057609536903,-1.062310836190115,0.10501706651824629,1.6475244070990716
18,2021-06-14,9.79699993133545,2.819999933242798,205.89666748046875,28.239999771118164,46.54999923706055,0.11808600428125712,1.8848726338476358,-1.0183365146875827,0.12915816557960483,1.722655224559116
19,2021-06-15,9.800000190734863,2.7300000190734863,199.7866668701172,28.209999084472656,45.150001525878906,0.11943641154813216,1.71139136040812,-1.1216759379516148,0.12358697924311557,1.6017551077562144
20,2021-06-16,9.800000190734863,3.1600000858306885,201.6233367919922,28.399999618530277,45.02000045776367,0.11943641154813216,2.540247252645766,-1.09061204409023,0.15887045097745262,1.5905285577453805
21,2021-06-17,9.800000190734863,3.2100000381469727,205.5333404541016,30.8799991607666,47.36000061035156,0.11943641154813216,2.6366257378899416,-1.024481523134457,0.6194112288424636,1.7926048108043244
22,2021-06-18,9.800000190734863,3.0,207.7700042724609,30.11000061035156,46.90999984741211,0.11943641154813216,2.231835640295536,-0.9866524681531549,0.4764209881897165,1.7537439295569863
23,2021-06-21,9.786999702453612,2.869999885559082,206.94332885742188,30.11000061035156,46.5099983215332,0.11358493288886864,1.9812511190918112,-1.000634162438415,0.4764209881897165,1.7192008507977496
24,2021-06-22,9.829999923706056,2.880000114440918,207.90333557128903,28.93000030517578,44.09999847412109,0.1329391964795023,2.0005272757095147,-0.9843974144465154,0.2572926177318087,1.5110796083700206
25,2021-06-23,9.789999961853027,3.009999990463257,218.85667419433597,31.18000030517578,45.40999984741211,0.11493534015574448,2.251111337344371,-0.7991418362058795,0.6751220296122127,1.6242078783506688
26,2021-06-24,9.779999732971191,3.039999961853028,226.60667419433597,30.68000030517578,45.459999084472656,0.11043426876335681,2.3089384284908774,-0.6680648394312153,0.5822710491943451,1.62852568083877
27,2021-06-25,9.789999961853027,3.069999933242798,223.9566650390625,31.68000030517578,45.06999969482422,0.11493534015574448,2.3667655196373816,-0.7128848705923263,0.7679730100300802,1.5948463602334817
