Date,Open,High,Low,Close,Volume,Market Cap
Dec-18-2022,0.000143471,0.000143992,0.000139891,0.000141642,68723697.18,850466282.1
Dec-17-2022,0.000138,0.000144794,0.000130369,0.000143486,150031000.6,843422835.6
Dec-16-2022,0.000161372,0.0001635,0.000130634,0.000137158,66145799.13,935637686
Dec-15-2022,0.000165311,0.000165459,0.000160412,0.000161372,58358658.08,979761566.9
Dec-14-2022,0.000168106,0.000169293,0.000165266,0.000165311,70579471.12,1005457528
Dec-13-2022,0.000170552,0.000170974,0.000162634,0.000168106,90650766.28,1003463450
Dec-12-2022,0.000166914,0.000171276,0.000162814,0.000170434,67300590.18,999343752.8
Dec-11-2022,0.000170811,0.000171693,0.000166177,0.000166967,52982965.06,1020293397
Dec-10-2022,0.000171648,0.000172648,0.000170018,0.000170811,59146239.71,1028293678
Dec-09-2022,0.000173373,0.000177316,0.000170652,0.000171648,134132247.9,1034550715
Dec-08-2022,0.000165231,0.000175528,0.000162762,0.000173598,115311677.3,1017590130
Dec-07-2022,0.000171803,0.000172105,0.000162168,0.000165231,89256302.73,998496974.3
Dec-06-2022,0.00017398,0.000176272,0.000168158,0.000171876,84437115.03,1034793092
Dec-05-2022,0.000176306,0.000178218,0.000171213,0.00017398,84965206.18,1053457312
Dec-04-2022,0.000172534,0.000177307,0.000172261,0.000176306,97736431.42,1047413799
Dec-03-2022,0.00018065,0.000183061,0.000171962,0.000172884,166210539.5,1075151624
Dec-02-2022,0.000168511,0.000191214,0.000167061,0.000181153,286699894.6,1084366376
Dec-01-2022,0.000164891,0.000174019,0.000160369,0.000169545,98445292.49,984027874.7
Nov-30-2022,0.000160182,0.000165951,0.00015984,0.000164891,80758483.77,974187245.6
Nov-29-2022,0.000158762,0.000162699,0.000157692,0.000160182,74125540.94,960004058.3
Nov-28-2022,0.000162151,0.000162974,0.000153676,0.000158752,103130491.7,944114398.1
Nov-27-2022,0.000159279,0.000166252,0.000158795,0.000162001,88457399.59,973565272.9
Nov-26-2022,0.000158573,0.000164479,0.000158235,0.000159279,84136152.62,966902062.6
Nov-25-2022,0.000162026,0.000162097,0.000156098,0.000158555,82103828.94,949940617
Nov-24-2022,0.000164892,0.000166713,0.000160777,0.000162026,101369737.4,977239661.4
