Date,Open,High,Low,Close,Volume,Market Cap
Dec-18-2022,1189.663264,1197.5162,1177.864093,1188.275954,9518597778,1.45218E+11
Dec-17-2022,1169.16453,1190.825275,1165.115939,1189.73943,20335989586,1.44426E+11
Dec-16-2022,1267.817677,1280.3073,1161.523444,1166.2983,17306134037,1.50519E+11
Dec-15-2022,1310.008051,1312.551384,1263.5405,1266.910674,20454735332,1.57156E+11
Dec-14-2022,1322.697562,1349.091033,1306.408744,1310.3291,21131939253,1.62199E+11
Dec-13-2022,1275.005702,1341.1211,1258.5035,1321.588667,18729368057,1.58556E+11
Dec-12-2022,1263.242563,1276.449415,1242.247587,1274.635018,11962940656,1.53457E+11
Dec-11-2022,1266.763509,1282.210148,1259.7378,1263.776028,7445708549,1.55632E+11
Dec-10-2022,1262.762063,1279.395691,1261.39321,1265.109833,10217945849,1.55148E+11
Dec-09-2022,1280.575767,1290.72198,1258.0506,1262.201538,15888496176,1.56216E+11
Dec-08-2022,1231.761843,1286.1438,1224.840769,1281.749666,14235489061,1.52579E+11
Dec-07-2022,1271.07482,1271.9287,1224.4515,1233.04819,15388381831,1.51816E+11
Dec-06-2022,1259.408605,1272.785153,1245.798803,1272.785153,14341437856,1.53931E+11
Dec-05-2022,1279.645298,1302.849929,1249.7737,1259.132582,15193700887,1.56742E+11
Dec-04-2022,1240.853428,1281.863848,1240.853428,1280.977471,13263055079,1.54463E+11
Dec-03-2022,1294.8408,1300.1995,1238.55199,1242.378005,14198367550,1.55826E+11
Dec-02-2022,1275.835856,1293.724,1267.6698,1293.7235,15344008959,1.56635E+11
Dec-01-2022,1294.835894,1294.835894,1263.9917,1274.9055,19783274478,1.56653E+11
Nov-30-2022,1217.14,1302.260279,1216.4066,1296.266414,21260847079,1.55643E+11
Nov-29-2022,1168.7013,1224.21711,1161.610814,1217.2066,18646231342,1.47632E+11
Nov-28-2022,1194.281155,1199.5172,1155.365,1169.484301,15553576786,1.43531E+11
Nov-27-2022,1205.801239,1221.936299,1193.848214,1193.848214,11739046767,1.48654E+11
Nov-26-2022,1198.4439,1225.973536,1197.908439,1206.78254,14760104953,1.4872E+11
Nov-25-2022,1204.774,1204.774,1175.986487,1199.168447,15465895211,1.4564E+11
Nov-24-2022,1186.067,1214.771533,1181.9022,1204.057,20792419556,1.46817E+11
Nov-23-2022,1138.829,1186.7917,1129.9878,1185.1995,22390376359,1.42315E+11
Nov-22-2022,1107.693913,1138.386,1081.0533,1135.112,24361076316,1.35898E+11
Nov-21-2022,1143.382,1143.382,1084.8446,1108.39067,21338577077,1.3724E+11
Nov-20-2022,1219.821308,1223.8445,1138.953017,1144.0425,11230235876,1.45883E+11
Nov-19-2022,1212.813971,1227.4193,1200.7882,1218.902299,9537879634,1.48034E+11
Nov-18-2022,1200.797267,1227.657224,1200.797267,1213.309305,15701073146,1.48586E+11
Nov-17-2022,1217.59653,1226.466113,1188.0834,1200.163955,19152988718,1.47529E+11
Nov-16-2022,1253.7473,1265.6373,1194.687196,1217.306892,20331229995,1.50606E+11
Nov-15-2022,1242.079348,1285.3936,1238.715646,1252.7961,23680562852,1.54366E+11
Nov-14-2022,1223.653758,1287.630127,1181.1305,1242.592693,24089592683,1.50852E+11
Nov-13-2022,1259.0258,1274.5241,1209.3709,1223.796978,15444773212,1.52438E+11
Nov-12-2022,1290.4865,1290.4865,1245.772632,1257.9701,28423737013,1.55456E+11
Nov-11-2022,1298.9448,1304.623,1211.869533,1294.1023,42946262841,1.55445E+11
Nov-10-2022,1099.633444,1345.9238,1091.550144,1300.654699,64840283748,1.50862E+11
Nov-09-2022,1333.58082,1334.100467,1085.743129,1095.368247,70554382948,1.50428E+11
Nov-08-2022,1567.4369,1573.6633,1263.9011,1332.766116,41875192235,1.78874E+11
Nov-07-2022,1572.8043,1603.9821,1549.8852,1568.2193,23137771772,1.9372E+11
Nov-06-2022,1626.7032,1634.211839,1573.7605,1573.7605,14569443079,1.98223E+11
Nov-05-2022,1643.8873,1659.6563,1624.5877,1626.1543,28373682418,2.01065E+11
Nov-04-2022,1530.997575,1662.0981,1528.856065,1644.6298,26853065113,1.95689E+11
Nov-03-2022,1518.775211,1556.080124,1516.087895,1530.66817,34568313145,1.88998E+11
Nov-02-2022,1578.719,1612.9202,1506.917494,1519.443463,24669581522,1.9137E+11
Nov-01-2022,1571.898057,1606.9968,1567.842372,1578.9899,27764591989,1.94047E+11
Oct-31-2022,1589.0586,1631.4787,1552.3476,1573.628154,25615568441,1.93886E+11
Oct-29-2022,1619.152889,1637.016,1578.251269,1589.3013,26897969931,1.9649E+11
Oct-28-2022,1554.4098,1644.768781,1549.7773,1620.511904,33548971556,1.97015E+11
Oct-27-2022,1514.216064,1568.5417,1490.8258,1556.203,36109050375,1.87144E+11
Oct-26-2022,1566.498187,1573.201509,1510.528142,1514.690285,41457106432,1.90015E+11
Oct-25-2022,1459.724557,1583.129032,1459.028925,1565.494644,53863084039,1.87233E+11
Oct-24-2022,1343.3106,1510.1817,1287.07956,1463.420466,26123834773,1.70238E+11
Oct-23-2022,1363.0932,1367.6843,1326.8996,1343.6972,21173323406,1.64837E+11
