Date,symbol,Close
19/12/2000,AAPL,0.25
20/12/2000,AAPL,0.256696
21/12/2000,AAPL,0.251116
22/12/2000,AAPL,0.267857
26/12/2000,AAPL,0.262277
27/12/2000,AAPL,0.264509
28/12/2000,AAPL,0.264509
29/12/2000,AAPL,0.265625
02/01/2001,AAPL,0.265625
03/01/2001,AAPL,0.292411
04/01/2001,AAPL,0.304688
05/01/2001,AAPL,0.292411
08/01/2001,AAPL,0.295759
09/01/2001,AAPL,0.30692
10/01/2001,AAPL,0.295759
11/01/2001,AAPL,0.321429
12/01/2001,AAPL,0.30692
16/01/2001,AAPL,0.305804
17/01/2001,AAPL,0.300223
18/01/2001,AAPL,0.333705
19/01/2001,AAPL,0.348214
22/01/2001,AAPL,0.34375
23/01/2001,AAPL,0.366071
24/01/2001,AAPL,0.366071
25/01/2001,AAPL,0.356027
26/01/2001,AAPL,0.34933
29/01/2001,AAPL,0.387277
30/01/2001,AAPL,0.388393
31/01/2001,AAPL,0.386161
01/02/2001,AAPL,0.377232
02/02/2001,AAPL,0.368304
05/02/2001,AAPL,0.360491
06/02/2001,AAPL,0.377232
07/02/2001,AAPL,0.370536
08/02/2001,AAPL,0.370536
09/02/2001,AAPL,0.341518
12/02/2001,AAPL,0.351563
13/02/2001,AAPL,0.341518
14/02/2001,AAPL,0.348214
15/02/2001,AAPL,0.358259
16/02/2001,AAPL,0.339286
20/02/2001,AAPL,0.327009
21/02/2001,AAPL,0.337054
22/02/2001,AAPL,0.335938
23/02/2001,AAPL,0.335938
26/02/2001,AAPL,0.348214
27/02/2001,AAPL,0.345982
28/02/2001,AAPL,0.325893
01/03/2001,AAPL,0.334821
02/03/2001,AAPL,0.34375
05/03/2001,AAPL,0.363839
06/03/2001,AAPL,0.383929
07/03/2001,AAPL,0.379464
08/03/2001,AAPL,0.371652
09/03/2001,AAPL,0.361607
12/03/2001,AAPL,0.332589
13/03/2001,AAPL,0.34933
14/03/2001,AAPL,0.364955
15/03/2001,AAPL,0.351563
16/03/2001,AAPL,0.350446
19/03/2001,AAPL,0.367188
20/03/2001,AAPL,0.351563
21/03/2001,AAPL,0.359375
22/03/2001,AAPL,0.386161
23/03/2001,AAPL,0.410714
26/03/2001,AAPL,0.388929
27/03/2001,AAPL,0.408393
28/03/2001,AAPL,0.395893
29/03/2001,AAPL,0.402321
30/03/2001,AAPL,0.394107
02/04/2001,AAPL,0.385536
03/04/2001,AAPL,0.361429
04/04/2001,AAPL,0.348214
05/04/2001,AAPL,0.372679
06/04/2001,AAPL,0.367679
09/04/2001,AAPL,0.366786
10/04/2001,AAPL,0.393571
11/04/2001,AAPL,0.389286
12/04/2001,AAPL,0.400357
16/04/2001,AAPL,0.382857
17/04/2001,AAPL,0.364286
18/04/2001,AAPL,0.406964
19/04/2001,AAPL,0.459286
20/04/2001,AAPL,0.447143
23/04/2001,AAPL,0.433036
24/04/2001,AAPL,0.429107
25/04/2001,AAPL,0.441429
26/04/2001,AAPL,0.440893
27/04/2001,AAPL,0.467857
30/04/2001,AAPL,0.455179
01/05/2001,AAPL,0.463036
02/05/2001,AAPL,0.474821
03/05/2001,AAPL,0.445714
04/05/2001,AAPL,0.459821
07/05/2001,AAPL,0.445714
08/05/2001,AAPL,0.43875
09/05/2001,AAPL,0.428214
10/05/2001,AAPL,0.410714
11/05/2001,AAPL,0.408036
14/05/2001,AAPL,0.415893
15/05/2001,AAPL,0.413929
16/05/2001,AAPL,0.430357
17/05/2001,AAPL,0.420536
18/05/2001,AAPL,0.420179
21/05/2001,AAPL,0.420714
