,Date,LCID,PSNY,FORD,TSLA,LI,NIO,LCID_z_norm,PSNY_z_norm,FORD_z_norm,TSLA_z_norm,LI_z_norm,NIO_z_norm
166,2021-05-18,19.3799991607666,10.0,2.440000057220459,192.6233367919922,19.40999984741211,34.189998626708984,-0.3761689791835134,0.20954284151985175,1.152465621857365,-1.2425162236622287,-1.5103061313142712,0.6552794362756036
167,2021-05-19,18.96999931335449,9.779999732971191,2.470000028610229,187.82000732421875,19.549999237060547,33.459999084472656,-0.4179548486656381,0.11054778086210504,1.210300952899148,-1.3237402288413123,-1.4843113805152799,0.5922407042903987
168,2021-05-20,19.790000915527344,9.760000228881836,2.8299999237060547,195.5933380126953,20.270000457763672,34.33000183105469,-0.33438291531053377,0.10154846396495172,1.9043253850349084,-1.1922936861180575,-1.3506232812017973,0.6673693403990798
169,2021-05-21,19.809999465942383,9.760000228881836,2.650000095367432,193.6266632080078,20.489999771118164,34.060001373291016,-0.33234472719229635,0.10154846396495172,1.557313398784206,-1.2255500358215805,-1.3097743364959655,0.6440535908566827
170,2021-05-24,19.399999618530277,9.760000228881836,2.5299999713897705,202.14666748046875,20.809999465942383,35.88999938964844,-0.37413059667442033,0.10154846396495172,1.3259716149827165,-1.0814772888249087,-1.2503575608686037,0.8020821207557681
171,2021-05-25,20.280000686645508,9.729999542236328,2.400000095367432,201.56333923339844,19.989999771118164,36.06999969482422,-0.2844437101828939,0.08804884492195669,1.0753518471349872,-1.091341333521203,-1.402613136951698,0.8176259537840329
172,2021-05-26,19.989999771118164,9.729999542236328,2.440000057220459,206.3766632080078,22.81999969482422,37.7599983215332,-0.3139996733921725,0.08804884492195669,1.152465621857365,-1.0099483218476764,-0.8771455405383286,0.9635649089758469
173,2021-05-27,19.8799991607666,9.75,2.8299999237060547,210.2833404541016,23.649999618530277,38.90999984741211,-0.32521058280132714,0.09704859095062005,1.9043253850349084,-0.9438866504593884,-0.7230331459478886,1.0628726944990712
174,2021-05-28,19.71999931335449,9.699999809265137,2.8499999046325684,208.4066619873047,23.299999237060547,38.619998931884766,-0.34151725409235867,0.0745496550104717,1.9428822723960977,-0.975621167637375,-0.7880203770972857,1.0378298157961774
175,2021-06-01,21.559999465942383,9.760000228881836,2.7100000381469727,207.96665954589844,23.809999465942383,42.34000015258789,-0.15399033985464453,0.10154846396495172,1.672984060867773,-0.9830615817957978,-0.6933247581342084,1.3590685924920427
176,2021-06-02,23.559999465942383,9.779999732971191,2.690000057220459,201.7066650390625,24.34000015258789,41.15999984741211,0.04984324567410048,0.11054778086210504,1.6344271735065838,-1.0889177029833315,-0.5949155021564413,1.257170277936176
177,2021-06-03,22.959999084472656,9.800000190734863,2.650000095367432,190.94667053222656,24.959999084472656,40.900001525878906,-0.011306868862694087,0.11954752689076839,1.557313398784206,-1.2708685467498901,-0.4797955879164071,1.2347182576821294
178,2021-06-04,23.950000762939453,9.760000228881836,2.7100000381469727,199.68333435058597,25.63999938964844,41.93999862670898,0.08959092703798738,0.10154846396495172,1.672984060867773,-1.1231321001889425,-0.35353476263230327,1.3245266681145196
179,2021-06-07,26.5,9.760000228881836,2.880000114440918,201.7100067138672,26.68000030517578,43.68000030517578,0.3494786708307951,0.10154846396495172,2.000718063072235,-1.0888611954683955,-0.16042988769145947,1.4747836109156778
180,2021-06-08,26.63999938964844,9.800000190734863,2.990000009536743,201.19667053222656,28.46999931335449,43.560001373291016,0.3637469596127339,0.11954752689076839,2.2127809435587755,-1.097541678653222,0.17193283378106491,1.4644211653689028
181,2021-06-09,26.489999771118164,9.800000190734863,2.890000104904175,199.5933380126953,27.43000030517578,42.7400016784668,0.34845947957624873,0.11954752689076839,2.0199965067528294,-1.1246539327144798,-0.021171687007860637,1.3936105168695654
182,2021-06-10,25.3799991607666,9.789999961853027,2.8399999141693115,203.3733367919922,27.0,42.7599983215332,0.23533177740272157,0.11504765387643671,1.923603828715503,-1.0607343863901133,-0.10101311206409755,1.3953373166138574
183,2021-06-11,25.13999938964844,9.770000457763672,2.930000066757202,203.29666137695312,28.11000061035156,45.68000030517578,0.21087177046617517,0.1060483369792834,2.097110281475208,-1.062030962931453,0.10508913827624189,1.6474925739708821
184,2021-06-14,24.1200008392334,9.79699993133545,2.819999933242798,205.89666748046875,28.239999771118164,46.54999923706055,0.10691678958356492,0.11819747916016689,1.8850469413543138,-1.0180650200090546,0.12922707056788899,1.7226208806633587
185,2021-06-15,22.61000061035156,9.800000190734863,2.7300000190734863,199.7866668701172,28.209999084472656,45.150001525878906,-0.04697759081754055,0.11954752689076839,1.7115409482289623,-1.121384753654027,0.12365661504585447,1.6017248041744385
186,2021-06-16,24.040000915527344,9.800000190734863,3.1600000858306885,201.6233367919922,28.399999618530277,45.02000045776367,0.09876345393804933,0.11954752689076839,2.5405149457632374,-1.0903267785041786,0.1589354583815706,1.5904986293393129
187,2021-06-17,23.549999237060547,9.800000190734863,3.2100000381469727,205.5333404541016,30.8799991607666,47.36000061035156,0.04882405441955411,0.11954752689076839,2.6369071641662107,-1.024208857626137,0.619415823645543,1.79256812929055
188,2021-06-18,23.399999618530277,9.800000190734863,3.0,207.7700042724609,30.11000061035156,46.90999984741211,0.033536574383069666,0.11954752689076839,2.2320593872393704,-0.9863870103460047,0.4764443400991721,1.753708546719888
189,2021-06-21,22.959999084472656,9.786999702453612,2.869999885559082,206.94332885742188,30.11000061035156,46.5099983215332,-0.011306868862694087,0.1136976061458344,1.981439159757287,-1.0003660406505148,0.4764443400991721,1.7191666223423654
