Date,SHELL,BP,TTE,CNA,NG
2017-12-20,1888.6383056640625,30.728361129760742,40.469627380371094,36.77457809448242,4.03000020980835
2017-12-21,1923.5045166015625,31.276147842407227,40.770545959472656,36.68350601196289,4.059999942779541
2017-12-22,1921.5460205078125,30.98349380493164,40.469627380371094,36.543373107910156,3.9700000286102295
2017-12-27,1930.1641845703125,31.3061580657959,40.565040588378906,36.97074508666992,4.050000190734863
2017-12-28,1928.20556640625,31.418718338012695,40.76320266723633,37.082847595214844,4.0
2017-12-29,1943.0921630859375,31.538776397705078,40.5723762512207,37.16690444946289,3.930000066757202
2018-01-02,1939.5662841796875,31.801406860351562,41.005401611328125,36.72553253173828,4.059999942779541
2018-01-03,1967.772705078125,32.16910171508789,41.42375183105469,36.90068435668945,3.950000047683716
2018-01-04,1984.61767578125,32.29667663574219,42.135677337646484,37.159908294677734,3.9200000762939453
2018-01-05,1982.267333984375,32.341697692871094,42.39989471435547,37.16690444946289,3.859999895095825
2018-01-08,1978.7413330078125,32.32668685913086,42.40723419189453,36.96373748779297,3.7899999618530273
2018-01-09,1986.1846923828125,32.16910171508789,42.34851837158203,37.12488555908203,3.7899999618530273
2018-01-10,2003.421875,32.191619873046875,42.23109436035156,36.94272232055664,3.880000114440918
2018-01-11,2013.99951171875,32.46926498413086,42.48063278198242,37.17392349243164,3.880000114440918
2018-01-12,2016.3497314453125,32.94950485229492,43.54484939575195,37.650333404541016,3.9600000381469727
2018-01-15,2011.2572021484375,,,,
2018-01-16,1992.0611572265625,31.8614559173584,42.99440383911133,37.040809631347656,3.9600000381469727
2018-01-17,1977.174560546875,32.176612854003906,43.0531120300293,37.47517776489258,3.9700000286102295
2018-01-18,1974.4322509765625,32.191619873046875,42.64943313598633,37.75541687011719,3.9100000858306885
2018-01-19,1972.081787109375,31.816425323486328,42.53200149536133,37.80446243286133,3.9800000190734863
2018-01-22,1975.2159423828125,32.55931091308594,43.19990158081055,38.112735748291016,3.940000057220459
2018-01-23,1984.61767578125,32.44674301147461,42.913665771484375,38.50507354736328,4.0
2018-01-24,1961.504638671875,32.972023010253906,43.38337707519531,38.336910247802734,4.409999847412109
2018-01-25,1967.3807373046875,32.82194519042969,43.37603759765625,38.385963439941406,3.9000000953674316
2018-01-26,1966.5970458984375,32.87446975708008,43.33934020996094,38.58913040161133,3.9700000286102295
2018-01-29,1975.9998779296875,32.529293060302734,42.796234130859375,38.112735748291016,3.819999933242798
2018-01-30,1944.26708984375,32.12409210205078,42.32649612426758,38.03566360473633,3.7200000286102295
2018-01-31,1929.381103515625,32.10906982421875,42.61274719238281,37.94458770751953,3.7200000286102295
2018-02-01,1885.5042724609375,32.536800384521484,43.464115142822266,37.90254592895508,3.7200000286102295
2018-02-02,1876.8858642578125,30.88594627380371,42.040260314941406,37.272010803222656,3.630000114440918
2018-02-05,1854.164306640625,29.850412368774414,39.76504135131836,35.205223083496094,3.7100000381469727
2018-02-06,1791.092041015625,30.443214416503906,40.89531707763672,35.07211685180664,3.7200000286102295
2018-02-07,1826.7415771484375,30.01549530029297,40.15403366088867,35.142173767089844,3.6600000858306885
2018-02-08,1785.99951171875,29.677818298339844,40.087982177734375,33.944149017333984,3.690000057220459
2018-02-09,1757.0098876953125,29.3476505279541,40.36687469482422,34.46959686279297,3.5999999046325684
2018-02-12,1790.30859375,29.917945861816406,40.89531707763672,36.1090087890625,3.7799999713897705
2018-02-13,1789.9169921875,29.782873153686523,41.13018035888672,36.50835037231445,3.7100000381469727
2018-02-14,1787.5662841796875,30.293128967285156,41.93017578125,36.59943389892578,4.150000095367432
2018-02-15,1795.05078125,30.346466064453125,41.71732711791992,37.370094299316406,4.159999847412109
2018-02-16,1799.822021484375,30.178882598876953,41.93017578125,37.552242279052734,4.170000076293945
2018-02-19,1798.6295166015625,,,,
2018-02-20,1794.255126953125,30.10271453857422,41.85678482055664,37.321048736572266,4.010000228881836
2018-02-21,1795.8455810546875,29.58475112915039,41.57054901123047,37.51021194458008,4.070000171661377
2018-02-22,1800.6180419921875,29.897045135498047,42.223751068115234,36.98476028442383,4.03000020980835
2018-02-23,1796.2431640625,30.544504165649414,42.84761047363281,37.475547790527344,4.079999923706055
2018-02-26,1812.149658203125,30.689226150512695,42.891639709472656,38.12748336791992,4.070000171661377
2018-02-27,1831.2379150390625,30.08747673034668,42.17238235473633,37.834476470947266,3.940000057220459
2018-02-28,1830.0445556640625,29.599985122680664,41.60723114013672,37.40229415893555,3.9600000381469727
2018-03-01,1822.48876953125,29.66092300415039,41.48981475830078,36.69908142089844,4.010000228881836
2018-03-02,1789.085205078125,29.47811508178711,41.49714279174805,36.77233123779297,3.880000114440918
2018-03-05,1803.0032958984375,29.828495025634766,41.71000289916992,37.7026252746582,4.03000020980835
2018-03-06,1821.693603515625,30.12556266784668,41.827423095703125,38.03957748413086,4.099999904632568
2018-03-07,1808.17333984375,29.9427490234375,41.944854736328125,38.37653350830078,3.990000009536743
2018-03-08,1801.4129638671875,30.057010650634766,41.97420120239258,38.6329231262207,4.010000228881836
2018-03-09,1798.6295166015625,30.209348678588867,42.01091384887695,39.248233795166016,3.9600000381469727
2018-03-12,1791.869384765625,30.354076385498047,42.179710388183594,38.90394592285156,4.0
2018-03-13,1775.565185546875,30.12556266784668,42.31916809082031,38.61826705932617,3.9700000286102295
2018-03-14,1758.8631591796875,29.607601165771484,42.722835540771484,38.32527160644531,3.990000009536743
2018-03-15,1744.1495361328125,29.729475021362305,42.562191009521484,38.21538162231445,4.199999809265137
